organisations_id,people_id
accident-compensation-corporation,hon-andrew-bayly
accident-compensation-corporation,hon-nicola-grigg
accident-compensation-corporation,dr-tracey-batten
accident-compensation-corporation,megan-main
accreditation-council,brian-young
accreditation-council,paul-connell
advertising-standards-authority,hilary-souter
advertising-standards-authority,hon-heather-roy
agresearch-limited,sue-bidrose
agresearch-limited,dr-paul-reynolds-qso
agricultural-and-marketing-research-and-development-trust,hon-todd-mcclay
agricultural-and-marketing-research-and-development-trust,hon-mark-patterson
agricultural-and-marketing-research-and-development-trust,hon-nicola-grigg
agricultural-and-marketing-research-and-development-trust,hon-andrew-hoggard
agricultural-and-marketing-research-and-development-trust,tony-egan
agricultural-and-marketing-research-and-development-trust,malcolm-nitschke
air-new-zealand,hon-nicola-willis
air-new-zealand,greg-foran
air-new-zealand,dame-therese-walsh
airways-corporation-of-new-zealand-limited,hon-simeon-brown
airways-corporation-of-new-zealand-limited,graeme-sumner
airways-corporation-of-new-zealand-limited,denise-church-qso-cfinstd
animal-control-products-limited,hon-simeon-brown
animal-control-products-limited,william-mccook
animal-control-products-limited,terry-murdoch
ara-institute-of-canterbury,tony-gray
ara-institute-of-canterbury,dr-therese-arseneau
archives-new-zealand,hon-brooke-van-velden
archives-new-zealand,anahera-morehu
aroturuki-tamariki,hon-louise-upston
aroturuki-tamariki,arran-jones
ashburton-district-council,hamish-riach
ashburton-district-council,neil-brown
asia-new-zealand-foundation,rt-hon-winston-peters
asia-new-zealand-foundation,simon-draper
asia-new-zealand-foundation,hon-dame-fran-wilde-dnzm-qso
asurequality-limited,hon-simeon-brown
asurequality-limited,kim-ballinger
auckland-council,wayne-brown
auckland-council,jim-stabback
auckland-university-of-technology,john-maasland
auckland-university-of-technology,derek-mccormack
aucklandwaikato-fish-and-game-council,hon-tama-potaka
aucklandwaikato-fish-and-game-council,ben-wilson
aucklandwaikato-fish-and-game-council,nigel-juby
audit-new-zealand,stephen-walker
aviation-security-service,mark-wheeler
banking-ombudsman-scheme,nicola-sladden
banking-ombudsman-scheme,miriam-dean-cnzm-qc
bay-of-plenty-regional-council,fiona-mctavish
bay-of-plenty-regional-council,doug-leeder
broadcasting-standards-authority,hon-paul-goldsmith
broadcasting-standards-authority,hon-jenny-marcroft
broadcasting-standards-authority,glen-scanlon
broadcasting-standards-authority,judge-bill-hastings
buller-district-council,sharon-mason
buller-district-council,jamie-cleine
callaghan-innovation,stefan-korn
callaghan-innovation,pete-hodgson
carterton-district-council,geoff-hamilton
carterton-district-council,ron-mark
central-hawkes-bay-district-council,doug-tate
central-hawkes-bay-district-council,alex-walker
central-otago-district-council,sanchia-jacobs
central-otago-district-council,tim-cadogan
central-south-island-fish-and-game-council,hon-tama-potaka
central-south-island-fish-and-game-council,steve-mcknight
central-south-island-fish-and-game-council,linn-koevoet
charities-services,charlotte-stanley
charter-school-agency,hon-david-seymour
charter-school-agency,jane-lee
charter-school-agency,justine-mahon
chatham-islands-council,monique-croon
chatham-islands-council,owen-pickles
christchurch-city-council,phil-mauger
christchurch-city-council,mary-richardson
city-rail-link-limited,hon-chris-bishop
city-rail-link-limited,james-meager
city-rail-link-limited,sir-brian-roche
civil-aviation-authority-of-new-zealand,hon-chris-bishop
civil-aviation-authority-of-new-zealand,james-meager
civil-aviation-authority-of-new-zealand,mark-darrow
civil-aviation-authority-of-new-zealand,keith-manch
climate-change-commission,hon-simon-watts
climate-change-commission,jo-hendy
climate-change-commission,dr-rod-carr
clutha-district-council,steve-hill
clutha-district-council,bryan-cadogan
commerce-commission,adrienne-meikle
commerce-commission,anna-rawlings
controller-and-auditor-general,john-ryan
creative-new-zealand,hon-paul-goldsmith
creative-new-zealand,caren-rangi-onzm
creative-new-zealand,stephen-wainwright
criminal-cases-review-commission,colin-carruthers-qc
crown-asset-management-limited,gary-traveller
crown-infrastructure-partners-limited,graham-mitchell
crown-infrastructure-partners-limited,mark-binns
crown-irrigation-investments-limited,hon-todd-mcclay
crown-irrigation-investments-limited,hon-mark-patterson
crown-irrigation-investments-limited,hon-nicola-grigg
crown-irrigation-investments-limited,hon-andrew-hoggard
crown-irrigation-investments-limited,linda-robertson
crown-irrigation-investments-limited,murray-gribben
crown-law-office,hon-judith-collins
crown-law-office,una-jagose-qc
defence-employer-support-council,hon-chris-penk
defence-employer-support-council,hon-judith-collins
defence-employer-support-council,peter-townsend
department-of-conservation,hon-tama-potaka
department-of-conservation,penny-nelson
department-of-corrections,hon-mark-mitchell
department-of-corrections,jeremy-lightfoot
department-of-internal-affairs,hon-simon-watts
department-of-internal-affairs,rt-hon-christopher-luxon
department-of-internal-affairs,hon-brooke-van-velden
department-of-internal-affairs,hon-louise-upston
department-of-internal-affairs,hon-judith-collins
department-of-internal-affairs,hon-mark-mitchell
department-of-internal-affairs,rt-hon-winston-peters
department-of-internal-affairs,paul-james
department-of-the-prime-minister-and-cabinet,rt-hon-christopher-luxon
department-of-the-prime-minister-and-cabinet,hon-louise-upston
department-of-the-prime-minister-and-cabinet,ben-king
drug-free-sport-new-zealand,hon-chris-bishop
drug-free-sport-new-zealand,hon-mark-mitchell
drug-free-sport-new-zealand,tim-castle
drug-free-sport-new-zealand,nick-paterson
dunedin-city-council,sandy-graham
dunedin-city-council,jules-radich
eastern-fish-and-game-council,hon-tama-potaka
eastern-fish-and-game-council,arash-alaeinia
eastern-fish-and-game-council,ngahi-bidois
eastern-institute-of-technology,christopher-collins
eastern-institute-of-technology,geraldine-travers
education-new-zealand,tracey-bridges
education-new-zealand,amanda-malu
education-payroll,hon-erica-stanford
education-payroll,lara-ariell
education-payroll,naomi-ferguson
education-review-office,hon-erica-stanford
education-review-office,nicholas-pole
electoral-commission,karl-le-quesne
electoral-commission,dame-marie-shroff
electricity-authority,hon-simon-watts
electricity-authority,hon-shane-jones
electricity-authority,anna-kominik
electricity-authority,sarah-gillies
electricity-corporation-of-new-zealand,hon-simeon-brown
electricity-corporation-of-new-zealand,jane-meares
electricity-corporation-of-new-zealand,victor-wu
employment-relations-authority,andrew-dallas
energy-efficiency-and-conservation-authority,hon-simon-watts
energy-efficiency-and-conservation-authority,hon-shane-jones
energy-efficiency-and-conservation-authority,dr-marcos-pelenur
energy-efficiency-and-conservation-authority,elena-trout
environment-canterbury,stefanie-rixecker
environment-canterbury,peter-scott
environment-southland,wilma-falconer
environment-southland,nicol-horrell
environmental-protection-authority,hon-penny-simmonds
environmental-protection-authority,hon-andrew-hoggard
environmental-protection-authority,steven-tipene-wilson
environmental-protection-authority,dr-allan-freeth
esr,peter-lennox
esr,denise-church-qso-cfinstd
external-reporting-board,michele-embling
external-reporting-board,wendy-venter
fairway-resolution,rhys-west
fairway-resolution,anita-chan-qc
far-north-district-council,blair-king
far-north-district-council,moko-tepania
financial-markets-authority,samantha-barrass
fire-and-emergency-new-zealand,hon-brooke-van-velden
fire-and-emergency-new-zealand,rebecca-keoghan
fire-and-emergency-new-zealand,kerry-gregory
gambling-commission,blair-cairncross
game-animal-council,tim-gale
genesis-energy-limited,marc-england
genesis-energy-limited,barbara-chapman
gisborne-district-council,rehette-stoltz
gisborne-district-council,nedine-thatcher-swann
gns-science,chelydra-percy
gns-science,david-smol
gore-district-council,ben-bell
gore-district-council,stephen-parry
government-communications-security-bureau,hon-judith-collins
government-communications-security-bureau,air-vice-marshal-andrew-clark
government-superannuation-fund-authority,hon-nicola-willis
government-superannuation-fund-authority,hon-chris-bishop
government-superannuation-fund-authority,hon-david-seymour
government-superannuation-fund-authority,hon-shane-jones
government-superannuation-fund-authority,tim-mitchell
government-superannuation-fund-authority,anne-blackburn
governor-general,dame-cindy-kiro
greater-wellington-regional-council,nigel-corry
greater-wellington-regional-council,daran-ponter
grey-district-council,paul-morris
grey-district-council,tania-gibson
guardians-of-new-zealand-superannuation,hon-nicola-willis
guardians-of-new-zealand-superannuation,hon-chris-bishop
guardians-of-new-zealand-superannuation,hon-david-seymour
guardians-of-new-zealand-superannuation,hon-shane-jones
guardians-of-new-zealand-superannuation,jo-townsend
guardians-of-new-zealand-superannuation,john-williamson
hamilton-city-council,lance-vervoort
hamilton-city-council,paula-southgate
hastings-district-council,toosavili-nigel-bickle
hastings-district-council,sandra-hazelhurst
hauraki-district-council,toby-adams
hauraki-district-council,langley-cavers
hawkes-bay-fish-and-game-council,hon-tama-potaka
hawkes-bay-fish-and-game-council,corina-jordan
hawkes-bay-fish-and-game-council,bruce-bates
hawkes-bay-regional-council,dr-nic-peet
hawkes-bay-regional-council,hinewai-ormsby
